color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
color,ridley scott,150,65007045.0,"['action', 'adventure', 'drama']",Exodus: Gods and Kings,2014,english,Uk,140000000.0,6.1,"Christian Bale,María Valverde,Ben Mendelsohn",51000
color,,150,182204440.0,"['biography', 'drama', 'history', 'war']",Lincoln,2012,english,Usa,65000000.0,7.4,"Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill",71000
color,gore verbinski,650,89289910.0,"['action', 'adventure', 'western']",The Lone Ranger,2013,english,Usa,215000000.0,6.5,"Johnny Depp,Ruth Wilson,Tom Wilkinson",48000
color,david fincher,149,167735396.0,"['crime', 'drama', 'mystery', 'thriller']",Gone Girl,2014,english,Usa,61000000.0,8.1,"Patrick Fugit,Sela Ward,Emily Ratajkowski",146000
color,bryan singer,149,233914986.0,"['action', 'adventure', 'fantasy', 'sci-fi', 'thriller']",X-Men: Days of Future Past,2014,english,United States,200000000.0,8.0,"Jennifer Lawrence,Peter Dinklage,Hugh Jackman",82000
color,christopher nolan,148,292568851.0,"['action', 'adventure', 'sci-fi', 'thriller']",Inception,2010,english,Usa,160000000.0,8.8,"Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt",175000
color,paul thomas anderson,148,8093318.0,"['comedy', 'crime', 'drama', 'mystery', 'romance']",Inherent Vice,2014,english,Usa,20000000.0,6.7,"Martin Dew,Katherine Waterston,Serena Scott Thomas",18000
color,sam mendes,148,200074175.0,"['action', 'adventure', 'thriller']",Spectre,2015,english,Uk,245000000.0,6.8,"Christoph Waltz,Rory Kinnear,Stephanie Sigman",85000
color,,147,407197282.0,"['action', 'adventure', 'sci-fi']",Captain America: Civil War,2016,english,Usa,250000000.0,8.2,"Robert Downey Jr.,Scarlett Johansson,Chris Evans",72000
color,michael patrick king,146,95328937.0,"['comedy', 'drama', 'romance']",Sex and the City 2,2010,english,Usa,100000000.0,4.3,"Chris Noth,Liza Minnelli,Kristin Davis",0
color,tate taylor,146,169705587.0,['drama'],The Help,2011,english,Usa,25000000.0,8.1,"Emma Stone,Bryce Dallas Howard,Mike Vogel",75000
